week_start,n_lichess_final,n_chess_final
2025-01-21,13,13
2025-01-28,18,18
2025-02-04,11,11
2025-02-11,14,14
2025-02-18,11,11
2025-02-25,12,12
2025-03-04,17,17
2025-03-11,19,19
2025-03-18,12,12
2025-03-25,11,11
2025-04-01,8,8
2025-04-08,12,12
2025-04-15,13,13
2025-04-22,14,14
2025-04-29,9,9
2025-05-06,10,10
2025-05-13,32,32
2025-05-20,31,31
2025-05-27,20,20
2025-06-03,38,38
2025-06-10,35,35
2025-06-17,42,42
2025-06-24,46,46
2025-07-01,18,18
2025-07-08,23,23
2025-07-15,23,23
2025-07-22,29,29
2025-07-29,20,20
2025-08-05,36,36
2025-08-12,35,35
2025-08-19,31,31
2025-08-26,23,23
2025-09-02,17,17
2025-09-09,31,31
2025-09-16,25,25
2025-09-23,27,27
2025-09-30,27,27
2025-10-07,18,18
2025-10-14,28,28
2025-10-21,21,21
2025-10-28,24,24
2025-11-04,34,34
2025-11-11,25,25
2025-11-18,22,22
2025-11-25,16,16
2025-12-02,30,30
2025-12-09,22,22
2025-12-16,18,18
2025-12-23,31,31
2025-12-30,19,19
2026-01-06,22,22
2026-01-13,30,30
2026-01-20,20,20
2026-01-27,36,36
2026-02-03,28,28
2026-02-10,31,31
2026-02-17,17,17
2026-02-24,23,23
2026-03-03,25,25
2026-03-10,22,22
2026-03-17,33,33
2026-03-24,38,38
2026-03-31,31,31
2026-04-07,23,23
